Community,hour,avg_per_hour
AL WARQA'A THIRD,21,0.10569105691056911
AL WARQA'A THIRD,22,0.06504065040650407
AL WARQA'A THIRD,23,0.07317073170731707
AL WASL,0,0.16477272727272727
AL WASL,1,0.10795454545454546
AL WASL,2,0.07954545454545454
AL WASL,3,0.03409090909090909
AL WASL,4,0.03409090909090909
AL WASL,5,0.022727272727272728
AL WASL,6,0.08522727272727272
AL WASL,7,0.07954545454545454
AL WASL,8,0.09659090909090909
AL WASL,9,0.08522727272727272
AL WASL,10,0.17613636363636365
AL WASL,11,0.22727272727272727
AL WASL,12,0.18181818181818182
AL WASL,13,0.17045454545454544
AL WASL,14,0.26136363636363635
AL WASL,15,0.14204545454545456
AL WASL,16,0.14772727272727273
AL WASL,17,0.20454545454545456
AL WASL,18,0.13636363636363635
AL WASL,19,0.13636363636363635
AL WASL,20,0.19886363636363635
AL WASL,21,0.2159090909090909
AL WASL,22,0.09659090909090909
AL WASL,23,0.13068181818181818
AL WOHOOSH,18,1.0
AL WUHEIDA,0,0.07692307692307693
AL WUHEIDA,1,0.06923076923076923
AL WUHEIDA,2,0.06923076923076923
AL WUHEIDA,3,0.046153846153846156
AL WUHEIDA,4,0.06153846153846154
AL WUHEIDA,5,0.015384615384615385
AL WUHEIDA,6,0.046153846153846156
AL WUHEIDA,7,0.09230769230769231
AL WUHEIDA,8,0.09230769230769231
AL WUHEIDA,9,0.06923076923076923
AL WUHEIDA,10,0.11538461538461539
AL WUHEIDA,11,0.038461538461538464
AL WUHEIDA,12,0.06153846153846154
AL WUHEIDA,13,0.08461538461538462
AL WUHEIDA,14,0.1076923076923077
AL WUHEIDA,15,0.038461538461538464
AL WUHEIDA,16,0.05384615384615385
AL WUHEIDA,17,0.06923076923076923
AL WUHEIDA,18,0.046153846153846156
AL WUHEIDA,19,0.06153846153846154
AL WUHEIDA,20,0.038461538461538464
AL WUHEIDA,21,0.06923076923076923
AL WUHEIDA,22,0.06153846153846154
AL WUHEIDA,23,0.11538461538461539
AL YALAYIS 1,0,0.025974025974025976
AL YALAYIS 1,1,0.06493506493506493
AL YALAYIS 1,2,0.012987012987012988
AL YALAYIS 1,3,0.025974025974025976
AL YALAYIS 1,5,0.03896103896103896
AL YALAYIS 1,6,0.03896103896103896
AL YALAYIS 1,7,0.05194805194805195
AL YALAYIS 1,8,0.07792207792207792
AL YALAYIS 1,9,0.05194805194805195
AL YALAYIS 1,10,0.07792207792207792
AL YALAYIS 1,11,0.06493506493506493
AL YALAYIS 1,12,0.1038961038961039
AL YALAYIS 1,13,0.15584415584415584
AL YALAYIS 1,14,0.07792207792207792
